Month,Retailer,Region,Manufacturer,Brand,Product Name,SKU,Sales Value,Units,Stores,Price,Regular Price,% Time on Promo,% Sales on Promo,On Promo
2025-04-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,114000,6120,220,18.63,20.87,0.25,0.35,1
2025-04-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,126000,6520,220,19.33,21.65,0.30000000000000004,0.4,1
2025-04-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,94000,5320,260,17.67,19.79,0.15,0.25,0
2025-04-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,106000,5720,260,18.53,20.75,0.2,0.30000000000000004,1
2025-04-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,118000,6120,260,19.28,21.59,0.25,0.35,1
2025-04-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,130000,6520,260,19.94,22.33,0.30000000000000004,0.4,1
2025-05-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,87500,5400,180,16.2,18.14,0.15,0.25,0
2025-05-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,99500,5800,180,17.16,19.22,0.2,0.30000000000000004,1
2025-05-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,111500,6200,180,17.98,20.14,0.25,0.35,1
2025-05-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,123500,6600,180,18.71,20.96,0.30000000000000004,0.4,1
2025-05-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,91500,5400,220,16.94,18.97,0.15,0.25,0
2025-05-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,103500,5800,220,17.84,19.98,0.2,0.30000000000000004,1
2025-05-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,115500,6200,220,18.63,20.87,0.25,0.35,1
2025-05-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,127500,6600,220,19.32,21.64,0.30000000000000004,0.4,1
2025-05-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,95500,5400,260,17.69,19.81,0.15,0.25,0
2025-05-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,107500,5800,260,18.53,20.75,0.2,0.30000000000000004,1
2025-05-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,119500,6200,260,19.27,21.58,0.25,0.35,1
2025-05-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,131500,6600,260,19.92,22.31,0.30000000000000004,0.4,1
2025-06-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,89000,5480,180,16.24,18.19,0.15,0.25,0
2025-06-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,101000,5880,180,17.18,19.24,0.2,0.30000000000000004,1
2025-06-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,113000,6280,180,17.99,20.15,0.25,0.35,1
2025-06-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,125000,6680,180,18.71,20.96,0.30000000000000004,0.4,1
2025-06-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,93000,5480,220,16.97,19.01,0.15,0.25,0
2025-06-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,105000,5880,220,17.86,20.0,0.2,0.30000000000000004,1
2025-06-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,117000,6280,220,18.63,20.87,0.25,0.35,1
2025-06-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,129000,6680,220,19.31,21.63,0.30000000000000004,0.4,1
2025-06-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,97000,5480,260,17.7,19.82,0.15,0.25,0
2025-06-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,109000,5880,260,18.54,20.76,0.2,0.30000000000000004,1
2025-06-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,121000,6280,260,19.27,21.58,0.25,0.35,1
2025-06-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,133000,6680,260,19.91,22.3,0.30000000000000004,0.4,1
2025-07-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,90500,5560,180,16.28,18.23,0.15,0.25,0
2025-07-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,102500,5960,180,17.2,19.26,0.2,0.30000000000000004,1
2025-07-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,114500,6360,180,18.0,20.16,0.25,0.35,1
2025-07-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,126500,6760,180,18.71,20.96,0.30000000000000004,0.4,1
2025-07-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,94500,5560,220,17.0,19.04,0.15,0.25,0
2025-07-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,106500,5960,220,17.87,20.01,0.2,0.30000000000000004,1
2025-07-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,118500,6360,220,18.63,20.87,0.25,0.35,1
2025-07-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,130500,6760,220,19.3,21.62,0.30000000000000004,0.4,1
2025-07-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,98500,5560,260,17.72,19.85,0.15,0.25,0
2025-07-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,110500,5960,260,18.54,20.76,0.2,0.30000000000000004,1
2025-07-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,122500,6360,260,19.26,21.57,0.25,0.35,1
2025-07-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,134500,6760,260,19.9,22.29,0.30000000000000004,0.4,1
2025-08-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,92000,5640,180,16.31,18.27,0.15,0.25,0
2025-08-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,104000,6040,180,17.22,19.29,0.2,0.30000000000000004,1
2025-08-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,116000,6440,180,18.01,20.17,0.25,0.35,1
2025-08-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,128000,6840,180,18.71,20.96,0.30000000000000004,0.4,1
2025-08-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,96000,5640,220,17.02,19.06,0.15,0.25,0
2025-08-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,108000,6040,220,17.88,20.03,0.2,0.30000000000000004,1
2025-08-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,120000,6440,220,18.63,20.87,0.25,0.35,1
2025-08-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,132000,6840,220,19.3,21.62,0.30000000000000004,0.4,1
2025-08-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,100000,5640,260,17.73,19.86,0.15,0.25,0
2025-08-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,112000,6040,260,18.54,20.76,0.2,0.30000000000000004,1
2025-08-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,124000,6440,260,19.25,21.56,0.25,0.35,1
2025-08-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,136000,6840,260,19.88,22.27,0.30000000000000004,0.4,1
2025-09-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,93500,5720,180,16.35,18.31,0.15,0.25,0
2025-09-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,105500,6120,180,17.24,19.31,0.2,0.30000000000000004,1
2025-09-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,117500,6520,180,18.02,20.18,0.25,0.35,1
2025-09-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,129500,6920,180,18.71,20.96,0.30000000000000004,0.4,1
2025-09-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,97500,5720,220,17.05,19.1,0.15,0.25,0
2025-09-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,109500,6120,220,17.89,20.04,0.2,0.30000000000000004,1
2025-09-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,121500,6520,220,18.63,20.87,0.25,0.35,1
2025-09-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,133500,6920,220,19.29,21.6,0.30000000000000004,0.4,1
2025-09-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,101500,5720,260,17.74,19.87,0.15,0.25,0
2025-09-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,113500,6120,260,18.55,20.78,0.2,0.30000000000000004,1
2025-09-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,125500,6520,260,19.25,21.56,0.25,0.35,1
2025-09-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,137500,6920,260,19.87,22.25,0.30000000000000004,0.4,1
2025-10-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,95000,5800,180,16.38,18.35,0.15,0.25,0
2025-10-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,107000,6200,180,17.26,19.33,0.2,0.30000000000000004,1
2025-10-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,119000,6600,180,18.03,20.19,0.25,0.35,1
2025-10-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,131000,7000,180,18.71,20.96,0.30000000000000004,0.4,1
2025-10-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,99000,5800,220,17.07,19.12,0.15,0.25,0
2025-10-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,111000,6200,220,17.9,20.05,0.2,0.30000000000000004,1
2025-10-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,123000,6600,220,18.64,20.88,0.25,0.35,1
2025-10-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,135000,7000,220,19.29,21.6,0.30000000000000004,0.4,1
2025-10-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,103000,5800,260,17.76,19.89,0.15,0.25,0
2025-10-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,115000,6200,260,18.55,20.78,0.2,0.30000000000000004,1
2025-10-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,127000,6600,260,19.24,21.55,0.25,0.35,1
2025-10-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,139000,7000,260,19.86,22.24,0.30000000000000004,0.4,1
2025-11-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,96500,5880,180,16.41,18.38,0.15,0.25,0
2025-11-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,108500,6280,180,17.28,19.35,0.2,0.30000000000000004,1
2025-11-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,120500,6680,180,18.04,20.2,0.25,0.35,1
2025-11-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,132500,7080,180,18.71,20.96,0.30000000000000004,0.4,1
2025-11-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,100500,5880,220,17.09,19.14,0.15,0.25,0
2025-11-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,112500,6280,220,17.91,20.06,0.2,0.30000000000000004,1
2025-11-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,124500,6680,220,18.64,20.88,0.25,0.35,1
2025-11-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,136500,7080,220,19.28,21.59,0.30000000000000004,0.4,1
2025-11-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,104500,5880,260,17.77,19.9,0.15,0.25,0
2025-11-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,116500,6280,260,18.55,20.78,0.2,0.30000000000000004,1
2025-11-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,128500,6680,260,19.24,21.55,0.25,0.35,1
2025-11-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,140500,7080,260,19.84,22.22,0.30000000000000004,0.4,1
2025-12-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,98000,5960,180,16.44,18.41,0.15,0.25,0
2025-12-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,110000,6360,180,17.3,19.38,0.2,0.30000000000000004,1
2025-12-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,122000,6760,180,18.05,20.22,0.25,0.35,1
2025-12-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,134000,7160,180,18.72,20.97,0.30000000000000004,0.4,1
2025-12-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,102000,5960,220,17.11,19.16,0.15,0.25,0
2025-12-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,114000,6360,220,17.92,20.07,0.2,0.30000000000000004,1
2025-12-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,126000,6760,220,18.64,20.88,0.25,0.35,1
2025-12-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,138000,7160,220,19.27,21.58,0.30000000000000004,0.4,1
2025-12-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,106000,5960,260,17.79,19.92,0.15,0.25,0
2025-12-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,118000,6360,260,18.55,20.78,0.2,0.30000000000000004,1
2025-12-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,130000,6760,260,19.23,21.54,0.25,0.35,1
2025-12-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,142000,7160,260,19.83,22.21,0.30000000000000004,0.4,1
2025-01-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,113500,5880,260,19.3,21.62,0.25,0.35,1
