date,manufacturer,product,retailer,region,sales_value,sales_volume,store_count,current_price,percent_time_on_promo,percent_sales_on_promo,4_weeks_volume_growth_percent,4_weeks_value_growth_percent,_source_row
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Foods,Gauteng,89.99,0.38,1.0,89.99,,,,,45
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Gauteng,5018.23,21.04,16.0,89.61125,,,,,50
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Gauteng,5742.68,24.05,19.0,89.729375,,,,,51
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Gauteng,3239.58,13.55,16.0,89.98833333333333,,,,,52
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Gauteng,3779.49,15.79,14.0,89.98785714285714,,,,,53
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Gauteng,254.97,1.13,1.0,84.99,,,,,54
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Gauteng,84.99,0.38,1.0,84.99,,,,,55
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Gauteng,89.99,0.38,1.0,89.99,,,,,56
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Kwazulu-natal,1349.85,5.66,11.0,89.99,,,,,61
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Kwazulu-natal,1979.75,8.29,12.0,89.98863636363636,,,,,62
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Kwazulu-natal,1164.35,4.91,9.0,89.5653846153846,,,,,63
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Kwazulu-natal,1619.81,6.79,12.0,89.98944444444444,,,,,64
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Kwazulu-natal,539.93,2.25,2.0,89.98833333333333,,,,,69
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Kwazulu-natal,539.94,2.26,4.0,89.99000000000001,,,,,70
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Kwazulu-natal,359.96,1.51,3.0,89.99,,,,,71
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Kwazulu-natal,539.94,2.26,4.0,89.99000000000001,,,,,72
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Limpopo,1259.85,5.28,8.0,89.98928571428571,,,,,77
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Limpopo,1619.8,6.78,10.0,89.98888888888888,,,,,78
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Limpopo,1259.86,5.27,9.0,89.99,,,,,79
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Limpopo,1709.79,7.16,11.0,89.98894736842105,,,,,80
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Mpumalanga,899.89,3.77,6.0,89.989,,,,,85
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Mpumalanga,989.89,4.15,8.0,89.99,,,,,86
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Mpumalanga,899.89,3.77,6.0,89.989,,,,,87
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Mpumalanga,809.9,3.41,7.0,89.98888888888888,,,,,88
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Mpumalanga,629.91,2.63,2.0,89.98714285714286,,,,,93
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Mpumalanga,449.95,1.88,3.0,89.99,,,,,94
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Mpumalanga,449.95,1.88,3.0,89.99,,,,,95
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Mpumalanga,539.93,2.25,2.0,89.98833333333333,,,,,96
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,North West,1722.86,7.51,10.0,86.143,,,,,101
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,North West,1030.93,4.52,8.0,85.91083333333334,,,,,102
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,North West,1009.94,4.51,7.0,84.16166666666668,,,,,103
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,North West,421.98,1.89,4.0,84.396,,,,,104
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,North West,442.95,1.88,2.0,88.59,,,,,108
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,North West,165.99,0.75,1.0,82.995,,,,,109
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,North West,442.95,1.88,2.0,88.59,,,,,110
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,North West,89.99,0.38,1.0,89.99,,,,,111
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,North West,160.98,0.76,2.0,80.49,,,,,112
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,President Hyper,North West,179.98,0.75,1.0,89.99,,,,,113
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,President Hyper,North West,89.99,0.38,1.0,89.99,,,,,114
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,President Hyper,North West,89.99,0.38,1.0,89.99,,,,,115
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Northern Cape,746.98,3.39,5.0,82.99777777777778,,,,,120
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Northern Cape,331.99,1.51,3.0,82.9975,,,,,121
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Northern Cape,1078.92,4.88,4.0,82.99384615384616,,,,,122
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Northern Cape,497.99,2.27,5.0,82.99833333333333,,,,,123
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Western Cape,4769.4,19.97,29.0,89.98867924528301,,,,,128
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Western Cape,4319.51,18.1,30.0,89.98979166666668,,,,,129
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Western Cape,5259.35,22.2,30.0,89.14152542372882,3.3333,4.1823,,,130
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Western Cape,5039.35,21.11,30.0,89.98839285714287,,,,,131
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Western Cape,1077.67,4.51,6.0,89.80583333333334,,,,,136
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Western Cape,1439.82,6.02,6.0,89.98875,,,,,137
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Western Cape,1169.86,4.89,7.0,89.98923076923076,,,,,138
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Western Cape,629.92,2.64,4.0,89.98857142857142,,,,,139
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Western Cape,169.98,0.76,2.0,84.99,,,,,143
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Western Cape,89.99,0.38,1.0,89.99,,,,,144
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Western Cape,79.99,0.38,1.0,79.99,,,,,145
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Eastern Cape,124.95,3.75,2.0,24.990000000000002,,,,,152
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Eastern Cape,24.99,0.75,1.0,24.99,,,,,153
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Eastern Cape,62.39,3.75,2.0,12.478,,,,,157
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Eastern Cape,24.99,0.75,1.0,24.99,,,,,158
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Eastern Cape,124.95,3.75,4.0,24.990000000000002,,,,,162
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Eastern Cape,98.71,3.0,3.0,24.6775,33.3333,24.0502,,,163
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Eastern Cape,74.97,2.25,3.0,24.99,,,,,164
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Eastern Cape,74.97,2.25,3.0,24.99,,,,,165
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Eastern Cape,50.68,1.5,1.0,25.34,,,,,169
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Eastern Cape,25.99,0.75,1.0,25.99,,,,,170
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Free State,49.98,1.5,1.0,24.99,,,,,173
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,KwikSpar,Free State,24.99,0.75,1.0,24.99,100.0,100.0,,,176
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Free State,49.98,1.5,2.0,24.99,,,,,183
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Free State,24.99,0.75,1.0,24.99,,,,,184
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Free State,24.99,0.75,1.0,24.99,,,,,185
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Hypermarket,Free State,24.99,0.75,1.0,24.99,,,,,188
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Hypermarket,Free State,24.99,0.75,1.0,24.99,,,,,189
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Mini Market,Free State,25.99,0.75,1.0,25.99,,,,,191
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Free State,24.99,0.75,1.0,24.99,,,,,196
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Gauteng,99.96,3.0,4.0,24.99,,,,,201
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Gauteng,194.18,6.0,7.0,24.2725,14.2857,24.0653,,,202
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Gauteng,149.94,4.5,6.0,24.99,,,,,203
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Gauteng,262.35,11.25,7.0,17.490000000000002,14.2857,42.8473,,,204
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,KwikSpar,Gauteng,26.99,0.75,1.0,26.99,,,,,207
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Gauteng,79.42,3.0,4.0,19.855,,,,,212
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Gauteng,265.47,11.25,9.0,17.698,11.1111,4.6484,,,213
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Gauteng,309.5,16.5,4.0,14.068181818181818,25.0,32.9693,,,214
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Gauteng,248.01,9.75,12.0,19.077692307692306,16.6667,9.9512,,,215
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Gauteng,324.87,9.75,9.0,24.990000000000002,,,,,220
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Gauteng,74.97,2.25,2.0,24.99,,,,,221
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Gauteng,149.94,4.5,5.0,24.99,,,,,222
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Gauteng,74.97,2.25,3.0,24.99,,,,,223
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Hypermarket,Gauteng,12.34,0.75,1.0,12.34,100.0,100.0,,,227
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Hypermarket,Gauteng,52.0,3.0,2.0,13.0,100.0,100.0,,,228
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Local,Gauteng,101.4,6.0,1.0,12.675,,,,,231
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Local,Gauteng,24.99,0.75,1.0,24.99,,,,,232
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Mini Market,Gauteng,25.99,0.75,1.0,25.99,,,,,235
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Mini Market,Gauteng,25.99,0.75,1.0,25.99,,,,,236
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Mini Market,Gauteng,25.99,0.75,1.0,25.99,,,,,237
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Gauteng,24.99,0.75,1.0,24.99,,,,,243
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Gauteng,24.99,0.75,1.0,24.99,,,,,248
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Gauteng,124.95,3.75,5.0,24.990000000000002,,,,,249
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Gauteng,206.92,6.0,6.0,25.865,,,,,250
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Gauteng,270.64,8.25,6.0,24.60363636363636,,,,,251
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Kwazulu-natal,24.99,0.75,1.0,24.99,,,,,256
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Kwazulu-natal,97.46,3.0,4.0,24.365,25.0,23.0761,,,257
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Kwazulu-natal,74.97,2.25,1.0,24.99,,,,,258
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Clothing,Kwazulu-natal,88.02,5.25,1.0,12.574285714285713,100.0,100.0,,,260
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Kwazulu-natal,346.92,18.75,8.0,13.876800000000001,50.0,63.3835,,,265
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Kwazulu-natal,140.73,7.5,4.0,14.072999999999999,25.0,18.0061,,,266
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Kwazulu-natal,37.7,2.25,1.0,12.566666666666668,100.0,100.0,,,267
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Kwazulu-natal,52.0,3.0,1.0,13.0,100.0,100.0,,,268
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Kwazulu-natal,49.98,1.5,2.0,24.99,,,,,272
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Kwazulu-natal,74.97,2.25,2.0,24.99,,,,,273
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Kwazulu-natal,24.99,0.75,1.0,24.99,,,,,274
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Limpopo,124.95,3.75,4.0,24.990000000000002,,,,,278
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Limpopo,49.98,1.5,2.0,24.99,,,,,279
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Game,Limpopo,74.97,2.25,2.0,24.99,,,,,280
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Limpopo,24.99,0.75,1.0,24.99,,,,,282
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Limpopo,24.99,0.75,1.0,24.99,,,,,283
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Limpopo,50.99,2.25,2.0,16.996666666666666,50.0,50.9904,,,284
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Limpopo,74.97,2.25,2.0,24.99,,,,,289
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Limpopo,24.99,0.75,1.0,24.99,,,,,290
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Limpopo,24.99,0.75,1.0,24.99,,,,,291
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Limpopo,49.98,1.5,2.0,24.99,,,,,292
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Limpopo,25.99,0.75,1.0,25.99,,,,,293
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Limpopo,22.31,0.75,1.0,22.31,,,,,294
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Limpopo,49.98,1.5,2.0,24.99,,,,,298
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Limpopo,103.96,3.0,3.0,25.99,,,,,299
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Limpopo,51.98,1.5,2.0,25.99,,,,,300
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Mpumalanga,76.68,4.5,1.0,12.780000000000001,100.0,100.0,,,308
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Corporate,Mpumalanga,6.66,0.75,1.0,6.66,100.0,100.0,,,309
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Mpumalanga,49.98,1.5,1.0,24.99,,,,,313
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Mpumalanga,49.98,1.5,1.0,24.99,,,,,314
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Mpumalanga,24.99,0.75,1.0,24.99,,,,,315
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Local,Mpumalanga,24.99,0.75,1.0,24.99,,,,,316
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Mpumalanga,129.95,3.75,1.0,25.99,,,,,317
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Mpumalanga,25.99,0.75,1.0,25.99,,,,,318
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Mpumalanga,47.98,1.5,2.0,23.99,,,,,322
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Mpumalanga,72.97,2.25,3.0,24.323333333333334,,,,,323
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Mpumalanga,99.96,3.0,3.0,24.99,,,,,324
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Checkers,Non-sa,128.13,3.75,4.0,25.625999999999998,,,,,330
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Checkers,Non-sa,53.98,1.5,1.0,26.99,,,,,331
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Checkers,Non-sa,74.15,2.25,3.0,24.71666666666667,,,,,332
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Checkers,Non-sa,101.14,3.0,4.0,25.285,,,,,333
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,OK Foods,Non-sa,83.97,2.25,1.0,27.99,,,,,335
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Non-sa,24.99,0.75,1.0,24.99,,,,,341
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,PnP Family,Non-sa,24.99,0.75,1.0,24.99,,,,,342
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite,Non-sa,317.06,9.0,8.0,26.421666666666667,,,,,347
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite,Non-sa,505.7,15.0,10.0,25.285,,,,,348
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite,Non-sa,235.8,7.5,9.0,23.580000000000002,,,,,349
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite,Non-sa,141.48,4.5,6.0,23.58,,,,,350
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite Mini,Non-sa,107.67,3.75,4.0,21.534,,,,,354
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite Mini,Non-sa,161.65,5.25,3.0,23.092857142857145,,,,,355
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite Mini,Non-sa,60.51,2.25,3.0,20.169999999999998,,,,,356
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Shoprite Mini,Non-sa,100.85,3.75,3.0,20.169999999999998,,,,,357
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Non-sa,24.99,0.75,1.0,24.99,,,,,361
2026-08-02,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Non-sa,52.89,1.5,2.0,26.445,,,,,362
2026-08-09,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Non-sa,102.32,3.0,3.0,25.58,,,,,363
2026-08-16,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,Spar,Non-sa,155.94,4.5,3.0,25.99,,,,,364
2026-07-26,Adcock Ingram,Plush All Purpose Cleaner Cream Lavender 750ml,SuperSpar,Non-sa,149.94,4.5,1.0,24.99,,,,,369
